,id,name,profession,age,age_group,medical_risk,registration time,deadline,address,phone,wechat,email,birthday,hospital priority,treatment
0,464313151,Morris,8,32,3,1,2022 1 1 0 7 6,-1,Valiant,14507579284,Gresham,Prunella@zju.edu.cn,1989/3/31,3 1 2,2
1,753075527,Dermot,1,38,4,3,2022 1 1 0 37 14,-1,Genevieve,14564365290,Elise,Timothea@zju.edu.cn,1983/5/17,1 2 3,2
2,519567301,Lowell,4,52,5,3,2022 1 1 6 13 36,-1,Peyton,16633294582,Renee,White@zju.edu.cn,1969/1/18,2 3 1,0
3,847044015,Light,2,21,3,0,2022 1 2 6 25 7,-1,Rupert,13835937701,Yvette,Karena@zju.edu.cn,2000/5/29,3 1 2,0
4,405123684,Darrel,2,23,3,0,2022 1 2 7 3 0,-1,Eagle-Eyed,15767525328,Montague,Paxton@zju.edu.cn,1998/8/8,3 2 1,1
5,977595241,Alina,2,59,5,3,2022 1 2 10 58 29,2022/1/10,Fergal,18109435403,Tilda,Doyle@zju.edu.cn,1962/1/23,2 3 1,0
6,152630627,Ernestine,4,8,1,0,2022 1 2 13 41 47,-1,Sunshine,13457922056,Quinby,Dirk@zju.edu.cn,2013/3/26,1 3 2,1
7,945460709,Ebenezer,7,26,3,1,2022 1 2 18 9 43,-1,Questa,15123102961,Vincent,Trixie@zju.edu.cn,1995/4/20,1 3 2,0
8,531500336,Efrain,2,16,2,0,2022 1 2 21 40 3,-1,Jocelyn,18585276447,Megan,Lowell@zju.edu.cn,2005/5/6,2 3 1,2
9,656352067,Elton,2,13,2,1,2022 1 2 23 2 42,-1,Heroine,17501928306,Veleda,Gifted@zju.edu.cn,2008/3/26,1 2 3,2
10,149583413,Winifred,8,37,4,3,2022 1 2 24 15 51,-1,Quentin,14625492647,Constant,Whitney@zju.edu.cn,1984/1/23,2 1 3,0
11,872058605,Amanda,8,36,4,3,2022 1 3 0 5 10,-1,Maureen,18116073729,Ives,Wolf@zju.edu.cn,1985/1/11,2 1 3,2
12,786927890,Majestic,5,71,6,2,2022 1 3 2 10 22,-1,Regal,15728001018,Beatrice,Kirby@zju.edu.cn,1950/3/17,3 1 2,1
13,405984961,Pearl,4,75,6,0,2022 1 3 9 26 59,-1,Simona,15050181204,Shamus,Martina@zju.edu.cn,1946/12/1,2 1 3,1
14,911218933,Melanie,3,7,1,2,2022 1 3 13 22 55,-1,Ely,18829586104,Glenn,Morris@zju.edu.cn,2014/4/5,1 3 2,2
15,377834093,Melody,3,46,4,2,2022 1 3 17 11 31,-1,Lars,15943786409,Praised,Healthy@zju.edu.cn,1975/7/17,2 1 3,1
16,590273109,Effie,7,76,7,1,2022 1 3 18 15 48,2022/1/15,Judy,18443088886,Serpent,Searcher@zju.edu.cn,1945/8/2,1 2 3,2
17,367344298,Joy,7,46,4,2,2022 1 3 18 46 46,-1,Julie,18912578849,Tanya,Max@zju.edu.cn,1975/10/16,3 1 2,0
18,834046543,Declan,3,46,4,1,2022 1 3 22 14 48,-1,Quinn,18928216482,Andrea,Kenyon@zju.edu.cn,1975/10/1,1 3 2,1
19,195413249,Strange,7,53,5,0,2022 1 3 23 23 16,-1,Noel,13823592934,Tower,Dominica@zju.edu.cn,1968/2/14,3 2 1,0
20,982073592,Gabrielle,4,24,3,3,2022 1 4 20 36 56,-1,Keene,17088869376,Darian,Solitary@zju.edu.cn,1997/10/28,1 3 2,1
21,705996709,Udele,8,28,3,3,2022 1 5 2 18 7,-1,Marilyn,14627277044,Page,Seth@zju.edu.cn,1993/12/11,2 3 1,0
22,660152326,Armed,4,24,3,1,2022 1 5 3 21 52,-1,Bird,15765293015,Katrina,Royal@zju.edu.cn,1997/5/6,1 3 2,2
23,833731030,Supplanter,7,47,4,3,2022 1 5 21 48 47,-1,Gifford,15039487521,Rhoda,Harley@zju.edu.cn,1974/10/30,1 2 3,0
24,613396295,Lilly,1,26,3,1,2022 1 6 0 58 46,-1,Helen,15683498403,Derek,Heathcliff@zju.edu.cn,1995/1/21,1 2 3,2
25,634229642,Serena,6,61,5,1,2022 1 6 3 41 31,-1,Shirley,18778737233,Leroy,Gaiety@zju.edu.cn,1960/10/31,2 1 3,0
26,649647551,Lorelei,6,16,2,1,2022 1 6 4 6 57,-1,Philip,13431456182,Edlyn,Pamela@zju.edu.cn,2005/2/15,1 2 3,2
27,380443792,Pure,8,20,3,1,2022 1 6 8 33 44,-1,Fannie,13077765528,Dwight,Joan@zju.edu.cn,2001/11/13,1 2 3,1
28,507559160,Lane,2,35,3,3,2022 1 6 9 27 49,-1,Ferris,15984317276,Mavis,Felix@zju.edu.cn,1986/12/30,2 1 3,1
29,443286408,Willette,4,43,4,2,2022 1 6 11 50 39,-1,Derwin,18710187247,Daniel,Harris@zju.edu.cn,1978/12/4,3 2 1,2
